date,state,population,new_infected_mean,perc_current_infected_mean,perc_total_infected_mean,total_cases,total_deaths
2021-02-20,MD,6045680,1802.4950434795785,0.004606108546800291,0.20617754861321022,375737,7697
2021-02-21,MD,6045680,1792.602082299972,0.004566509746819385,0.20647405820060155,376355,7715
2021-02-22,MD,6045680,,,,376966,7732
2021-02-23,MD,6045680,,,,377628,7762
2021-02-24,MD,6045680,,,,378490,7789
2021-02-25,MD,6045680,,,,379466,7805
2021-02-26,MD,6045680,,,,380436,7838
2021-02-27,MD,6045680,,,,381272,7856
2021-02-28,MD,6045680,,,,382099,7869
2021-03-01,MD,6045680,,,,382702,7879
2021-03-02,MD,6045680,,,,383170,7905
2021-03-03,MD,6045680,,,,383956,7919
2021-03-04,MD,6045680,,,,384765,7922
2021-03-05,MD,6045680,,,,385678,7930
2021-03-06,MD,6045680,,,,386610,7941
2021-03-07,MD,6045680,,,,387319,7955
2020-02-17,ME,1344212,2.0382009295205545,1.5162793737301515e-06,1.5162793737301515e-06,0,0
2020-02-18,ME,1344212,3.823494595609031,4.3606927516861815e-06,4.3606927516861815e-06,0,0
2020-02-19,ME,1344212,4.466160467875379,7.683204727383007e-06,7.683204727383005e-06,0,0
2020-02-20,ME,1344212,4.742104581989355,1.121099988319872e-05,1.121099988319872e-05,0,0
2020-02-21,ME,1344212,8.26039203694254,1.7356155585530304e-05,1.7356155585530304e-05,0,0
2020-02-22,ME,1344212,14.375119349021402,2.8050242045866474e-05,2.8050242045866474e-05,0,0
2020-02-23,ME,1344212,21.329277479615627,4.391773726210887e-05,4.391773726210887e-05,0,0
2020-02-24,ME,1344212,31.855321544780455,6.761587531234235e-05,6.761587531234235e-05,0,0
2020-02-25,ME,1344212,42.7555765682035,9.942304305686741e-05,9.94230430568674e-05,0,0
2020-02-26,ME,1344212,54.39475414268808,0.00013988894735074967,0.00013988894735074967,0,0
2020-02-27,ME,1344212,68.57474514025795,0.0001909037762172216,0.0001909037762172216,0,0
2020-02-28,ME,1344212,82.34028629444029,0.00025215920787118707,0.00025215920787118707,0,0
2020-02-29,ME,1344212,92.81168232462845,0.00032120462803156985,0.00032120462803156985,0,0
2020-03-01,ME,1344212,100.4112814230152,0.0003959036200231718,0.0003959036200231718,0,0
2020-03-02,ME,1344212,107.36471020158011,0.00047577547818362573,0.00047577547818362573,0,0
2020-03-03,ME,1344212,112.26574236966373,0.0005577770831686602,0.0005592933625423904,0,0
2020-03-04,ME,1344212,116.37864740831814,0.0006415102687173007,0.0006458709614689869,0,0
2020-03-05,ME,1344212,119.87291961352574,0.0007273648505434192,0.0007350480552708021,0,0
2020-03-06,ME,1344212,123.565717883297,0.0008157613336140268,0.0008269723334972255,0,0
2020-03-07,ME,1344212,127.72451873257637,0.0009046343139888737,0.000921990469574404,0,0
2020-03-08,ME,1344212,131.4462420364857,0.0009917270662388644,0.0010197773082847308,0,0
2020-03-09,ME,1344212,133.7661151619114,0.0010753722335802478,0.0011192899708423567,0,0
2020-03-10,ME,1344212,137.76815247239705,0.0011541639947961993,0.0012217798701085417,0,0
2020-03-11,ME,1344212,144.102653549969,0.0012295591534332042,0.0013289821964900716,0,0
2020-03-12,ME,1344212,152.86092928476856,0.0013028111219784042,0.001442700069329154,1,0
2020-03-13,ME,1344212,157.27744218048193,0.001368799743594804,0.0015597035198120258,3,0
2020-03-14,ME,1344212,158.80068230427742,0.0014256809468647027,0.00167784015473589,3,0
2020-03-15,ME,1344212,161.76966318046175,0.0014769808763816488,0.0017981855044132192,3,0
2020-03-16,ME,1344212,163.7324280569835,0.001524087394277612,0.0019199910143007843,17,0
2020-03-17,ME,1344212,162.471982911849,0.0015650833627039232,0.0020408588408875497,32,0
2020-03-18,ME,1344212,157.4172699436044,0.0015986729509340095,0.0021579663134764005,43,0
2020-03-19,ME,1344212,145.86567264499988,0.0016206092416654432,0.0022664802031344307,53,0
2020-03-20,ME,1344212,135.1132193198316,0.0016319469619850845,0.002366995017255887,57,0
2020-03-21,ME,1344212,127.2423875914732,0.0016346821478844637,0.0024616544813816895,73,0
2020-03-22,ME,1344212,120.07008592889784,0.0016289877835999026,0.002550978253174307,89,0
2020-03-23,ME,1344212,117.86332160763656,0.0016188830378984437,0.0026386603461831747,107,0
2020-03-24,ME,1344212,120.80066153721634,0.0016092376444451083,0.002728527615287465,125,0
2020-03-25,ME,1344212,127.45960805968619,0.0016015688061869237,0.0028233486762954656,149,0
2020-03-26,ME,1344212,136.1033532255094,0.0015956178845135125,0.0029246000810035843,155,0
2020-03-27,ME,1344212,146.06883921574394,0.0015905650430948785,0.003033265112424033,168,1
2020-03-28,ME,1344212,154.39887771763946,0.0015884235918484663,0.003148127111660492,211,1
2020-03-29,ME,1344212,161.06906499285384,0.0015901111104010283,0.0032679512651369188,253,3
2020-03-30,ME,1344212,159.24912711980758,0.0015882360073215629,0.0033864215117347823,275,3
2020-03-31,ME,1344212,151.06865677552892,0.0015788150444961645,0.0034988060587969492,303,5
2020-04-01,ME,1344212,138.67690715910456,0.0015611131672976686,0.0036019720081852183,344,7
2020-04-02,ME,1344212,125.70191906599392,0.0015375191576640613,0.0036954854711404622,376,7
2020-04-03,ME,1344212,112.8735016502435,0.001512975282892257,0.003779455486026688,432,9
2020-04-04,ME,1344212,101.22409393696026,0.001487764136597721,0.0038547591538536084,456,10
2020-04-05,ME,1344212,90.29838909065828,0.0014602803777108676,0.003921934859092557,470,10
2020-04-06,ME,1344212,84.58856399507115,0.0014338845994156084,0.003984862852589916,499,10
2020-04-07,ME,1344212,82.80402921013466,0.0014078029304545356,0.004046463276637711,519,12
2020-04-08,ME,1344212,83.23796501487983,0.001379858903379687,0.004108386518667152,537,14
2020-04-09,ME,1344212,84.05122922029686,0.0013475660962634064,0.004170914772558872,560,16
2020-04-10,ME,1344212,85.38276393408044,0.0013098335144300134,0.0042344335954335975,586,17
2020-04-11,ME,1344212,86.97532898384661,0.0012658720632363794,0.004299137175660412,616,19
2020-04-12,ME,1344212,88.36596503944257,0.001216748180487083,0.004364875292147575,633,19
2020-04-13,ME,1344212,89.86328938315815,0.0011637760484054652,0.004431727313542384,698,19
